Job,Job_title,Company,Country,City,Job_type,Work_place,Scraping date
Data Engineer,Data Engineer,HiRemoters ,Egypt,Cairo,Full Time,Remote,2025-12-04
Data Engineer,Data warehouse Extraction Engineer,Efada Technology ,Egypt,6th of October,Full Time,Hybrid,2025-12-04
Data Engineer,Senior Data Base Engineer,Amreyah Cement ,Egypt,Cairo,Full Time,On-site,2025-12-04
Data Engineer,Big Data Engineer,Efada Technology ,Egypt,6th of October,Full Time,Hybrid,2025-12-04
Data Engineer,PMO Engineers,GMC ,Egypt,Cairo,Full Time,On-site,2025-12-04
Data Engineer,Data Engineer Teradata ETL,AeliaSoft ,Egypt,Cairo,Full Time,On-site,2025-12-04
Data Engineer,Quality Engineer,KIG Konnice ,Egypt,10th of Ramadan City,Full Time,On-site,2025-12-04
Data Engineer,Project Control Engineer,SBS protech project & technology  ,Egypt,Cairo,Full Time,On-site,2025-12-04
Data Engineer,Cost Control Engineer Saudi Arabia,NSS ,Egypt,Cairo,Full Time,On-site,2025-12-04
Data Engineer,Junior Application Support Engineer,Lumin ,Egypt,6th of October,Full Time,On-site,2025-12-04
Data Engineer,Production Engineer Welding,Kama Manufacturing ,Egypt,10th of Ramadan City,Full Time,On-site,2025-12-04
Data Engineer,Survey Engineer,Professional Service  Proserv ,Egypt,6th of October,Full Time,Hybrid,2025-12-04
Data Engineer,Site Engineer,Dtec   ,Egypt,Heliopolis,Full Time,On-site,2025-12-04
Data Engineer,AI Engineer,Print Hub  ,Egypt,Mohandessin,Full Time,On-site,2025-12-04
Data Engineer,Production Engineer,Giza Cable Industries ,Egypt,6th of October,Full Time,On-site,2025-12-04
Data Engineer,Senior MRP Engineer,Kasrawy Group ,Egypt,6th of October,Full Time,On-site,2025-12-04
Data Engineer,CRM Dynamics 365 Support Engineer,Endemand IT ,Egypt,15th May City,Full Time,On-site,2025-12-04
Data Engineer,SQD Engineer,Pharco Corporation ,Egypt,Ameria,Full Time,On-site,2025-12-04
Data Engineer,Planning and cost control Engineer,Confidential ,Egypt,Nasr City,Full Time,On-site,2025-12-04
Data Engineer,Data Quality Engineer,Citylogix ME   ,Egypt,Katameya,Full Time,On-site,2025-12-04
Data Engineer,MAP Product Development Application Engineer,Good Seal Packaging   ,Egypt,10th of Ramadan City,Full Time,On-site,2025-12-04
Data Engineer,DevOps Engineer Data Infrastructure,Citylogix ME   ,Egypt,Katameya,Full Time,On-site,2025-12-04
Data Engineer,Pricing Engineer,Sani Pure ,Egypt,New Cairo,Full Time,On-site,2025-12-04
Data Engineer,Process Excellence Engineer,Olam SVI ,Egypt,6th of October,Full Time,On-site,2025-12-04
Data Engineer,Junior Data Pipeline Engineer Data Scientist,xMap ,Egypt,Cairo,Full Time,Remote,2025-12-04
Data Engineer,Cost Engineer,Green Mass  ,Egypt,New Cairo,Full Time,On-site,2025-12-04
Data Engineer,Cost Control Engineer,Confidential ,Egypt,6th of October,Full Time,On-site,2025-12-04
