Searched Job,Job Title,Company,Country,City,Area,Publish Time,Job Link,Job Type,Work Place,Scraping date
Data Engineer,Data Engineer,HiRemoters ,Egypt,Cairo,none,7 daysago,https://wuzzuf.net/jobs/p/mxdf7qyu1hph-data-engineer-hiremoters-cairo-egypt,Full Time,Remote,2025-12-04
Data Engineer,Data warehouse Extraction Engineer,Efada Technology ,Egypt,6th of October,Giza,none,https://wuzzuf.net/jobs/p/5vodgef9vqf8-data-warehouse-extraction-engineer-efada-technology-giza-egypt,Full Time,Hybrid,2025-12-04
Data Engineer,Senior Data Base Engineer,Amreyah Cement ,Egypt,Cairo,none,none,https://wuzzuf.net/jobs/p/p6wmvir6olpv-senior-data-base-engineer-amreyah-cement-cairo-egypt,Full Time,On-site,2025-12-04
Data Engineer,Big Data Engineer,Efada Technology ,Egypt,6th of October,Giza,none,https://wuzzuf.net/jobs/p/q2m5fcckjvbf-big-data-engineer-efada-technology-giza-egypt,Full Time,Hybrid,2025-12-04
Data Engineer,PMO Engineers,GMC ,Egypt,Cairo,none,2 daysago,https://wuzzuf.net/jobs/p/zexu8p4gqaer-pmo-engineers-gmc-cairo-egypt,Full Time,On-site,2025-12-04
Data Engineer,Data Engineer (Teradata / ETL),AeliaSoft ,Egypt,Cairo,none,none,https://wuzzuf.net/jobs/p/jf7wac4ohrky-data-engineer-teradata-etl-aeliasoft-cairo-egypt,Full Time,On-site,2025-12-04
Data Engineer,Quality Engineer,KIG Konnice ,Egypt,10th of Ramadan City,Sharqia,2 daysago,https://wuzzuf.net/jobs/p/u9t3brruaz1j-quality-engineer-kig-konnice-sharqia-egypt,Full Time,On-site,2025-12-04
Data Engineer,Project Control Engineer,SBS protech project & technology  ,Egypt,Cairo,none,56 minutesago,https://wuzzuf.net/jobs/p/a9uaeecyh9zz-project-control-engineer-sbs-protech-project-technology-cairo-egypt,Full Time,On-site,2025-12-04
Data Engineer,Cost Control Engineer | Saudi Arabia,NSS ,Egypt,Cairo,none,2 daysago,https://wuzzuf.net/jobs/p/dtmt5e2llrq7-cost-control-engineer-saudi-arabia-nss-cairo-egypt,Full Time,On-site,2025-12-04
Data Engineer,Junior Application Support Engineer,Lumin ,Egypt,6th of October,Giza,24 hoursago,https://wuzzuf.net/jobs/p/6sobbqrzojxz-junior-application-support-engineer-lumin-giza-egypt,Full Time,On-site,2025-12-04
Data Engineer,Production Engineer (Welding),Kama Manufacturing ,Egypt,10th of Ramadan City,Sharqia,none,https://wuzzuf.net/jobs/p/xosilf2x5amy-production-engineer-welding-kama-manufacturing-sharqia-egypt,Full Time,On-site,2025-12-04
Data Engineer,Survey Engineer.,Professional Service  Proserv ,Egypt,6th of October,Giza,7 daysago,https://wuzzuf.net/jobs/p/gdou1ffoba4z-survey-engineer-professional-service-proserv-giza-egypt,Full Time,Hybrid,2025-12-04
Data Engineer,Site Engineer,Dtec   ,Egypt,Heliopolis,Cairo,8 daysago,https://wuzzuf.net/jobs/p/ap805egyapl8-site-engineer-dtec-cairo-egypt,Full Time,On-site,2025-12-04
Data Engineer,AI Engineer,Print Hub  ,Egypt,Mohandessin,Giza,8 daysago,https://wuzzuf.net/jobs/p/e8vni2ib09uz-ai-engineer-print-hub-giza-egypt,Full Time,On-site,2025-12-04
Data Engineer,Production Engineer,Giza Cable Industries ,Egypt,6th of October,Giza,none,https://wuzzuf.net/jobs/p/zonlma4gvora-production-engineer-giza-cable-industries-giza-egypt,Full Time,On-site,2025-12-04
Data Engineer,Senior MRP Engineer,Kasrawy Group ,Egypt,6th of October,Giza,none,https://wuzzuf.net/jobs/p/sugwzdc7tohw-senior-mrp-engineer-kasrawy-group-giza-egypt,Full Time,On-site,2025-12-04
Data Engineer,CRM Dynamics 365 Support Engineer,Endemand IT ,Egypt,15th May City,Cairo,none,https://wuzzuf.net/jobs/p/cg6yzwn7tnnh-crm-dynamics-365-support-engineer-endemand-it-cairo-egypt,Full Time,On-site,2025-12-04
Data Engineer,SQD Engineer,Pharco Corporation ,Egypt,Ameria,Alexandria,none,https://wuzzuf.net/jobs/p/8bappwjaeyby-sqd-engineer-pharco-corporation-alexandria-egypt,Full Time,On-site,2025-12-04
Data Engineer,Planning and cost control Engineer,Confidential ,Egypt,Nasr City,Cairo,none,https://wuzzuf.net/jobs/p/7ph9ham8dnzd-planning-and-cost-control-engineer-cairo-egypt,Full Time,On-site,2025-12-04
